BHK,Price,registration_charges,localities,super_built_up_area,carpet_area,price_per_sqft,bathroom,balconies,status,additional_room,transaction_type,floorNum,funrished_status,address,facing,projectName,Area_sqft,Property_Type,regions,price_in_inr
2.0,₹1.23 Cr,"₹6,88,799",Akshayanagar,1230.0,900,10000.0,2.0,0.0,Not specified,Study Room,New Property,4,Unfurnished,Survey 40,North,Serenity Gardens by SNN Estates,1230.0,Multistorey Apartment,Bangalore,12300000.0
3.0,₹99.3 Lac,Not specified,Rajarajeshwari Nagar,1399.0,1148,7097.0,3.0,0.0,Ready to move,Store Room,New Property,Not specified,Unfurnished,Rajarajeshwari Nagar,Not Specified,Vishnu Rajsri,1399.0,Multistorey Apartment,Bangalore,9930000.0
3.0,₹99 Lac,Not specified,Electronic City Phase 2,1265.0,1038,7826.0,3.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Electronic City Phase 2,Not Specified,Shriram Sapphire,1265.0,Multistorey Apartment,Bangalore,9900000.0
3.0,₹2.62 Cr,Not specified,Koramangala,1850.0,1519,14162.0,2.0,0.0,Ready to move,None,New Property,Not specified,Unfurnished,Koramangala,Not Specified,GP Aditya,1850.0,Multistorey Apartment,Bangalore,26200000.0
3.0,₹1.5 Cr,Not specified,Jp Nagar 9Th Phase,1719.0,1411,8726.0,3.0,0.0,Ready to move,None,New Property,Not specified,Unfurnished,Phase 9th JP Nagar,Not Specified,HM Indigo,1719.0,Multistorey Apartment,Bangalore,15000000.0
2.0,₹1.01 Cr,Not specified,Chandapura,1120.0,919,9017.0,2.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Chandapura,Not Specified,Raj High Gardens,1120.0,Multistorey Apartment,Bangalore,10100000.0
2.0,₹53.7 Lac,Not specified,Electronics City Phase 1,1170.0,960,4589.0,2.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Electronics City Phase 1,Not Specified,Trishul Happy Homes Arghya,1170.0,Multistorey Apartment,Bangalore,5370000.0
2.0,₹99 Lac,Not specified,Electronics City Phase 1,1100.0,903,9000.0,2.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Electronics City Phase 1,Not Specified,GM Global Techies Town Tower B,1100.0,Multistorey Apartment,Bangalore,9900000.0
3.0,₹2.77 Cr,Not specified,Jp Nagar Phase 8,2050.0,1683,13512.0,3.0,0.0,Ready to move,None,New Property,Not specified,Semi-Furnished,Phase 8th JP Nagar,Not Specified,Epitome Elan,2050.0,Multistorey Apartment,Bangalore,27700000.0
3.0,₹1.57 Cr,Not specified,Sarjapur Road,1661.0,1363,9452.0,3.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,The Right Life,1661.0,Multistorey Apartment,Bangalore,15700000.0
3.0,₹1.13 Cr,Not specified,Electronic City,1342.0,1101,8420.0,3.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Electronic City,Not Specified,Aratt Alchemy Elixir,1342.0,Multistorey Apartment,Bangalore,11299999.999999998
3.0,₹97 Lac,Not specified,Kanakapura Road,1106.0,908,8770.0,3.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Kanakapura Road,Not Specified,Provident Park Square,1106.0,Multistorey Apartment,Bangalore,9700000.0
3.0,₹1.55 Cr,Not specified,Sarjapur Road,1931.0,1585,8026.0,3.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,Modern Serene Heights,1931.0,Multistorey Apartment,Bangalore,15500000.0
3.0,₹1.35 Cr,Not specified,Chandapura,1649.0,1354,8186.0,3.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Chandapura,Not Specified,Signature Heights,1649.0,Multistorey Apartment,Bangalore,13500000.0
4.0,₹2.16 Cr,Not specified,Sarjapur,3030.0,2488,7128.0,4.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Sarjapur,Not Specified,ATCO LA VIVANT,3030.0,Multistorey Apartment,Bangalore,21600000.0
3.0,₹2.12 Cr,Not specified,Kanakapura Road,1746.0,1433,12142.0,3.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Kanakapura Road,Not Specified,Purva Park Hill,1746.0,Multistorey Apartment,Bangalore,21200000.0
3.0,₹1.47 Cr,Not specified,Sarjapur Road,1586.0,1302,9268.0,3.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,MANA CRESTA,1586.0,Multistorey Apartment,Bangalore,14700000.0
3.0,₹2.61 Cr,"₹14,64,220",Bhattarahalli,2152.0,1506,12128.0,3.0,0.0,Ready to move,None,New Property,6,Unfurnished,K R Puram,West,UNKNOWN,2152.0,Multistorey Apartment,Bangalore,26100000.0
4.0,₹3.25 Cr,Not specified,Sarjapur Road,2324.0,1908,13984.0,4.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,UNKNOWN,2324.0,Villa,Bangalore,32500000.0
4.0,₹2.54 Cr,Not specified,Sarjapur Road,2065.0,1695,12300.0,4.0,4.0,Not specified,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,NAMBIAR DISTRICT 25,2065.0,Multistorey Apartment,Bangalore,25400000.0
3.0,₹1.9 Cr,"₹10,64,000",Sarjapur,1641.0,1347,11578.0,3.0,2.0,Not specified,Study Room,New Property,16,Unfurnished,Sarjapur Road,North,Meridian Park at The Prestige City,1641.0,Multistorey Apartment,Bangalore,19000000.0
3.0,₹1.59 Cr,"₹8,90,399",Balaji Nagar Stage 3Rd Banashankari,1395.0,1060,11397.0,2.0,0.0,Ready to move,None,Resale,5,Furnished,Sy 371,East,Brigade 7 Gardens,1395.0,Multistorey Apartment,Bangalore,15900000.0
3.0,₹1.71 Cr,"₹9,57,599",Sarjapur Road,2200.0,2200,7772.0,3.0,2.0,Not specified,None,New Property,7,Unfurnished,Kada Agrahara Rd,East,ENGRACE VISTA,2200.0,Multistorey Apartment,Bangalore,17100000.0
3.0,₹1.21 Cr,"₹6,77,599",Sarjapur Road,1644.0,1200,7360.0,3.0,3.0,Not specified,None,New Property,9,Unfurnished,Survey No.19,East,Binary Temple Tree,1644.0,Multistorey Apartment,Bangalore,12100000.0
3.0,₹91 Lac,Not specified,Sarjapur,1400.0,1149,6500.0,2.0,0.0,Under construction,Study Room,New Property,Not specified,Furnished,Sarjapur,Not Specified,RRL Palacio,1400.0,Multistorey Apartment,Bangalore,9100000.0
3.0,₹1.23 Cr,Not specified,Begur,1700.0,1395,7235.0,2.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Begur,Not Specified,Casagrand Amor,1700.0,Multistorey Apartment,Bangalore,12300000.0
3.0,₹1.78 Cr,Not specified,Sarjapur Road,1595.0,1309,11159.0,2.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,Abhee Celestial City,1595.0,Multistorey Apartment,Bangalore,17800000.0
2.0,₹1.58 Cr,"₹8,87,431",Begur Road,1455.0,1108,10859.0,2.0,0.0,Ready to move,None,New Property,1,Unfurnished,Bommanahalli,West,UNKNOWN,1455.0,Multistorey Apartment,Bangalore,15800000.0
2.0,₹81.5 Lac,Not specified,Rajarajeshwari Nagar,1020.0,837,7990.0,2.0,0.0,Ready to move,None,New Property,Not specified,Unfurnished,Rajarajeshwari Nagar,Not Specified,Chaitrashree Lifestyle,1020.0,Multistorey Apartment,Bangalore,8150000.0
3.0,₹1.38 Cr,"₹7,72,799",Sarjapur Road,1725.0,1390,7999.0,3.0,2.0,Not specified,Store Room,Resale,21,Unfurnished,sarjapura road,East,Godrej Park Retreat,1725.0,Multistorey Apartment,Bangalore,13799999.999999998
3.0,₹2.27 Cr,"₹12,73,999",Mico Layout Btm Layout,1750.0,1312,12971.0,2.0,0.0,Ready to move,None,New Property,1,Semi-Furnished,BTM Layout Stage 2,North,Green City Eutopia,1750.0,Multistorey Apartment,Bangalore,22700000.0
2.0,₹72.1 Lac,"₹4,03,647",Electronic City Phase 2,1060.0,764,6801.0,2.0,0.0,Not specified,None,New Property,2,Unfurnished,NA Central Heights,East,UNKNOWN,1060.0,Multistorey Apartment,Bangalore,7209999.999999999
4.0,₹3.25 Cr,"₹18,19,999",Sarjapur Road,2719.0,2000,11952.0,4.0,0.0,Ready to move,Servant Room,Resale,1,Semi-Furnished,Sarjapur Road,North,UNKNOWN,2719.0,Multistorey Apartment,Bangalore,32500000.0
3.0,₹1.5 Cr,Not specified,Vajarahalli,1795.0,1473,8356.0,3.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Vajarahalli,Not Specified,Srivara Vasudha,1795.0,Multistorey Apartment,Bangalore,15000000.0
3.0,₹2.05 Cr,"₹11,49,318",Aditya Nagar,1936.0,1746,10588.0,3.0,3.0,Not specified,Store Room,New Property,10,Unfurnished,Survey No-191,North - East,Purva Park Hill,1936.0,Multistorey Apartment,Bangalore,20500000.0
3.0,₹2.01 Cr,"₹11,29,694",Kanakapura,1936.0,1355,10382.0,3.0,3.0,Not specified,None,New Property,12,Unfurnished,Survey No-191,North - East,Purva Park Hill,1936.0,Multistorey Apartment,Bangalore,20099999.999999996
2.0,₹71.6 Lac,"₹4,01,183",Vajarahalli,995.0,704,7195.0,2.0,0.0,Not specified,None,New Property,5,Unfurnished,TG Heritage,East,TG Heritage,995.0,Multistorey Apartment,Bangalore,7159999.999999999
3.0,₹3.49 Cr,"₹19,54,399",Koramangala,2319.0,1904,15049.0,3.0,2.0,Not specified,None,New Property,10,Unfurnished,Koramangala,East,UNKNOWN,2319.0,Multistorey Apartment,Bangalore,34900000.0
4.0,₹3.8 Cr,"₹21,28,000",Bannerghatta,3010.0,2900,12624.0,4.0,3.0,Ready to move,Study Room,New Property,5,Not Specified,372A,East,Mahindra Windchimes,3010.0,Multistorey Apartment,Bangalore,38000000.0
3.0,₹1.41 Cr,"₹7,89,599",Hosur Road,1450.0,880,9724.0,3.0,0.0,Ready to move,None,New Property,1,Unfurnished,Hosur Road,East,Sobha Manhattan Towers Town Park,1450.0,Multistorey Apartment,Bangalore,14100000.0
2.0,₹78.3 Lac,Not specified,Sarjapur Road,1118.0,918,7003.0,2.0,0.0,Under construction,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,Bhavya Dazzle,1118.0,Multistorey Apartment,Bangalore,7830000.0
2.0,₹99 Lac,"₹5,54,400",Konanakunte,1030.0,780,9611.0,2.0,2.0,Ready to move,None,Resale,1,Unfurnished,Kanakapura Road,North,Mantri Serenity,1030.0,Multistorey Apartment,Bangalore,9900000.0
3.0,₹74.3 Lac,"₹4,15,954",Kengeri,1082.0,1082,6866.0,3.0,2.0,Ready to move,Store Room,New Property,6,Not Specified,Near NICE Road Junction,East,Provident Sunworth City,1082.0,Multistorey Apartment,Bangalore,7430000.0
3.0,₹1.74 Cr,"₹9,75,811",Sarjapur Road,2234.0,1676,7788.0,3.0,0.0,Not specified,Store Room,New Property,1,Unfurnished,Gatthalli Rd,North,JRC Wild Woods,2234.0,Multistorey Apartment,Bangalore,17400000.0
3.0,₹1.56 Cr,"₹8,73,599",Kanakapura Road,1748.0,1460,8924.0,3.0,2.0,Not specified,Store Room,New Property,9,Unfurnished,Survey No-191,East,Purva Park Hill,1748.0,Multistorey Apartment,Bangalore,15600000.0
2.0,₹1.11 Cr,"₹6,24,623",Sarjapur Road,1430.0,1073,7762.0,2.0,0.0,Not specified,Store Room,New Property,2,Unfurnished,Gatthalli Rd,North,JRC Wild Woods,1430.0,Multistorey Apartment,Bangalore,11100000.000000002
3.0,₹1.35 Cr,"₹7,55,999",Kanakapura Road,1600.0,1200,8437.0,2.0,0.0,Ready to move,None,Resale,5,Semi-Furnished,Kanakapura Road,West,Brigade Wisteria,1600.0,Multistorey Apartment,Bangalore,13500000.0
3.0,₹2.02 Cr,"₹11,31,199",Rajarajeshwari Nagar,1737.0,1301,11629.0,3.0,2.0,Ready to move,Study Room,New Property,15,Not Specified,Mysore Road,North - East,Navami Landmaark,1737.0,Multistorey Apartment,Bangalore,20200000.0
2.0,₹1.18 Cr,"₹6,63,599",Hosur Road,1185.0,788,9957.0,2.0,0.0,Not specified,Study Room,New Property,8,Unfurnished,Brigade Valencia,North,Brigade Valencia,1185.0,Multistorey Apartment,Bangalore,11800000.0
3.0,₹2.8 Cr,"₹15,67,999",Hadosiddapura,1804.0,1264,15521.0,4.0,0.0,Ready to move,Store Room,Resale,3,Unfurnished,6th B Cross Rd,Not Specified,Sobha Royal Pavilion,1804.0,Multistorey Apartment,Bangalore,28000000.0
3.0,₹1.51 Cr,"₹8,45,599",Electronic City Phase 2,1510.0,1510,10000.0,3.0,3.0,Not specified,None,New Property,10,Semi-Furnished,Hosur Road,East,UNKNOWN,1510.0,Multistorey Apartment,Bangalore,15100000.0
3.0,₹3.2 Cr,"₹17,91,999",Haralur Main Road,1778.0,1480,17997.0,3.0,2.0,Ready to move,None,Resale,12,Furnished,15th Main Road,East,Bren Imperia,1778.0,Multistorey Apartment,Bangalore,32000000.0
3.0,₹1.27 Cr,"₹7,12,627",Bengaluru Kanakapura Road,1642.0,1480,7734.0,3.0,0.0,Ready to move,None,New Property,1,Unfurnished,Kanakapura road Bangalore.,East,UNKNOWN,1642.0,Multistorey Apartment,Bangalore,12700000.0
3.0,₹1.35 Cr,"₹7,55,999",Akshayanagar,1420.0,1022,9507.0,2.0,2.0,Ready to move,None,Resale,14,Unfurnished,35611,North,DLF Westend Heights New Town,1420.0,Multistorey Apartment,Bangalore,13500000.0
4.0,₹3.17 Cr,"₹17,77,717",Sarjapur Road,2550.0,1785,12431.0,4.0,3.0,Ready to move,Store Room,New Property,18,Not Specified,Near Wipro Corporate Office,East,SJR Palazza City,2550.0,Multistorey Apartment,Bangalore,31700000.0
2.0,₹97 Lac,"₹5,43,200",Begur Road,933.0,933,10396.0,2.0,0.0,Not specified,None,New Property,11,Semi-Furnished,Survey no. 1491,East,Assetz Canvas and Cove Phase 1,933.0,Multistorey Apartment,Bangalore,9700000.0
2.0,₹1 Cr,"₹5,60,000",Sarjapur,1183.0,1155,8453.0,2.0,0.0,Ready to move,None,Resale,8,Semi-Furnished,A-805,East,SJR Parkway Homes,1183.0,Multistorey Apartment,Bangalore,10000000.0
3.0,₹1.9 Cr,"₹10,65,064",Chikkakannalli,2002.0,1500,9490.0,3.0,2.0,Not specified,Store Room,New Property,4,Unfurnished,Sarjapur Road,North - East,JRC Wild Woods,2002.0,Multistorey Apartment,Bangalore,19000000.0
4.0,₹2.98 Cr,"₹16,69,079",Sarjapur Road,2700.0,1740,11037.0,4.0,3.0,Not specified,None,New Property,Not specified,Unfurnished,Chandapur Road,East,UNKNOWN,2700.0,Villa,Bangalore,29800000.0
3.0,₹1.91 Cr,"₹10,70,018",Sarjapur,1587.0,1109,12035.0,2.0,2.0,Not specified,None,New Property,8,Unfurnished,Sarjapur Road,North - East,Godrej Lakeside Orchard,1587.0,Multistorey Apartment,Bangalore,19100000.0
3.0,₹1.69 Cr,"₹9,50,669",Kodathi,1509.0,1125,11199.0,2.0,0.0,Not specified,None,New Property,9,Semi-Furnished,Sarjapur Road,East,Godrej Lakeside Orchard,1509.0,Multistorey Apartment,Bangalore,16900000.0
2.0,₹88.1 Lac,"₹4,93,358",Electronic City Phase 2,1165.0,709,7562.0,2.0,2.0,Not specified,Store Room,New Property,6,Unfurnished,100.,North - East,Inspira Tropical Garden,1165.0,Builder Floor Apartment,Bangalore,8810000.0
3.0,₹1.82 Cr,"₹10,24,351",Dommasandra,1685.0,1685,10801.0,3.0,3.0,Not specified,None,New Property,10,Unfurnished,Sarjapur Road,East,DSR The Address,1685.0,Multistorey Apartment,Bangalore,18200000.0
3.0,₹1.6 Cr,"₹8,95,999",Bommasandra,1750.0,1437,9142.0,3.0,2.0,Ready to move,None,Resale,12,Unfurnished,Bommasandra,Not Specified,GM Global Techies Town Tower C,1750.0,Multistorey Apartment,Bangalore,16000000.0
3.0,₹1.5 Cr,"₹8,40,901",Hadosiddapura,1241.0,1000,12087.0,2.0,2.0,Not specified,None,New Property,7,Semi-Furnished,Godrej Park Retreat,West,Godrej Park Retreat,1241.0,Multistorey Apartment,Bangalore,15000000.0
3.0,₹3.67 Cr,"₹20,55,199",Koramangala,2369.0,1945,15491.0,3.0,2.0,Not specified,None,New Property,9,Unfurnished,Site No.160-165,East,Radiance Platinum,2369.0,Multistorey Apartment,Bangalore,36700000.0
4.0,₹3.3 Cr,"₹18,47,999",Sarjapur Road,2290.0,1880,14410.0,4.0,2.0,Ready to move,None,Resale,20,Unfurnished,Marathahalli - Sarjapur Rd,North - East,Avalon Park At The Prestige City,2290.0,Multistorey Apartment,Bangalore,33000000.0
2.0,₹52 Lac,"₹2,91,199",Venkatapura,883.0,623,5889.0,2.0,0.0,Ready to move,None,Resale,12,Semi-Furnished,Nice - Mysore Road Venkatapura,North,Provident Sunworth,883.0,Multistorey Apartment,Bangalore,5200000.0
3.0,₹2.6 Cr,"₹14,55,999",Sarjapur Road,1536.0,1075,16927.0,3.0,2.0,Ready to move,None,Resale,16,Unfurnished,Sarjapura Road,East,Prestige Smart City,1536.0,Multistorey Apartment,Bangalore,26000000.0
2.0,₹90 Lac,Not specified,Kanakapura Road,1230.0,1010,7317.0,2.0,0.0,Not specified,Store Room,New Property,4,Unfurnished,Kanakapura Road,North - East,Casagrand Zaiden,1230.0,Multistorey Apartment,Bangalore,9000000.0
3.0,₹1.65 Cr,Not specified,Electronic City,1404.0,1000,11752.0,2.0,0.0,Ready to move,Study Room,Resale,1,Semi-Furnished,chikkathoguru Electronic City,East,Prestige Casabella,1404.0,Multistorey Apartment,Bangalore,16500000.0
3.0,₹1.75 Cr,Not specified,Anekal,1906.0,1565,9181.0,3.0,3.0,Not specified,None,New Property,Not specified,Unfurnished,Anekal,Not Specified,Adarsh Welkin Park,1906.0,Multistorey Apartment,Bangalore,17500000.0
2.0,₹1.75 Cr,Not specified,Koramangala,1225.0,1005,14285.0,2.0,2.0,Ready to move,None,New Property,Not specified,Unfurnished,Koramangala,Not Specified,GP Aditya,1225.0,Multistorey Apartment,Bangalore,17500000.0
4.0,₹3.08 Cr,Not specified,Sarjapur Road,2512.0,2062,12261.0,4.0,4.0,Not specified,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,NAMBIAR DISTRICT 25,2512.0,Multistorey Apartment,Bangalore,30800000.0
4.0,₹2.1 Cr,"₹11,75,999",Sarjapur Road,2209.0,2000,9506.0,4.0,4.0,Not specified,Study Room,Resale,Not specified,Unfurnished,Sarjapur Road,East,UNKNOWN,2209.0,Villa,Bangalore,21000000.0
3.0,₹1.26 Cr,Not specified,Sarjapur Road,1622.0,1331,7768.0,3.0,2.0,Not specified,None,New Property,3,Unfurnished,Sarjapur Road,East,Raaga By Bhavisha Homes,1622.0,Multistorey Apartment,Bangalore,12600000.0
3.0,₹1.95 Cr,Not specified,Kanakapura Road,1936.0,1589,10072.0,3.0,0.0,Ready to move,None,New Property,5,Unfurnished,Purva Park Hill,West,Purva Park Hill,1936.0,Builder Floor Apartment,Bangalore,19500000.0
4.0,₹4.7 Cr,"₹26,31,999",Ambalipura,2650.0,2400,17735.0,4.0,3.0,Ready to move,None,Resale,Not specified,Semi-Furnished,harlur,West,UNKNOWN,2650.0,Villa,Bangalore,47000000.0
3.0,₹4 Cr,"₹22,40,000",Koramangala,2200.0,1140,18181.0,3.0,2.0,Ready to move,None,Resale,3,Semi-Furnished,Koramangala,East,Prestige Acropolis,2200.0,Multistorey Apartment,Bangalore,40000000.0
3.0,₹2.01 Cr,"₹11,31,182",Halanayakanahalli,1835.0,1506,10953.0,3.0,3.0,Not specified,None,New Property,9,Semi-Furnished,Halanayakanahalli village varthur hobli bengalore east taluk,East,Shivakar Adarsh Lumina,1835.0,Multistorey Apartment,Bangalore,20099999.999999996
2.0,₹60 Lac,"₹3,35,999",Avalahalli,800.0,650,7500.0,2.0,0.0,Ready to move,None,New Property,1,Unfurnished,House No 22,East,UNKNOWN,800.0,Residential House,Bangalore,6000000.0
3.0,₹2.3 Cr,"₹12,87,999",Sarjapur Road,1865.0,1450,12332.0,4.0,2.0,Not specified,Servant Room,Resale,14,Unfurnished,East Bangalore,East,Meridian Park at The Prestige City,1865.0,Multistorey Apartment,Bangalore,23000000.0
3.0,₹2.27 Cr,Not specified,Sarjapur Road,2244.0,1842,10115.0,3.0,2.0,Not specified,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,The Right Life,2244.0,Multistorey Apartment,Bangalore,22700000.0
4.0,₹3.09 Cr,Not specified,Sarjapur Road,2512.0,2062,12300.0,4.0,4.0,Not specified,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,NAMBIAR DISTRICT 25,2512.0,Multistorey Apartment,Bangalore,30900000.0
3.0,₹1.99 Cr,Not specified,Sarjapur Road,1990.0,1634,10000.0,3.0,2.0,Not specified,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,Abhee Celestial City,1990.0,Multistorey Apartment,Bangalore,19900000.0
3.0,₹2.33 Cr,Not specified,Jp Nagar,2332.0,1914,9991.0,3.0,3.0,Ready to move,None,New Property,Not specified,Unfurnished,JP Nagar,Not Specified,Majestic Fortune,2332.0,Multistorey Apartment,Bangalore,23300000.0
3.0,₹1.54 Cr,Not specified,Sarjapur Road,1595.0,1309,9655.0,2.0,0.0,Not specified,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,Abhee Celestial City,1595.0,Multistorey Apartment,Bangalore,15400000.0
2.0,₹1.35 Cr,Not specified,Mysore Road,1223.0,1004,11038.0,2.0,0.0,Ready to move,None,New Property,Not specified,Unfurnished,Mysore Road,Not Specified,Navami Landmaark,1223.0,Multistorey Apartment,Bangalore,13500000.0
3.0,₹1.95 Cr,Not specified,Sarjapur Road,1685.0,1383,11572.0,2.0,0.0,Not specified,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,Brigade Sanctuary,1685.0,Multistorey Apartment,Bangalore,19500000.0
3.0,₹1.66 Cr,Not specified,Anekal,1804.0,1481,9201.0,3.0,3.0,Not specified,None,New Property,Not specified,Unfurnished,Anekal,Not Specified,Adarsh Welkin Park,1804.0,Multistorey Apartment,Bangalore,16600000.0
3.0,₹1.39 Cr,Not specified,Rajarajeshwari Nagar,1531.0,1257,9079.0,3.0,2.0,Not specified,None,New Property,Not specified,Unfurnished,Rajarajeshwari Nagar,Not Specified,Elegant Tranquility,1531.0,Multistorey Apartment,Bangalore,13899999.999999998
3.0,₹1.6 Cr,Not specified,Sarjapur Road,1739.0,1427,9200.0,3.0,3.0,Not specified,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,MANA CRESTA,1739.0,Multistorey Apartment,Bangalore,16000000.0
4.0,₹2.5 Cr,Not specified,Sarjapur Road,2865.0,2352,8726.0,4.0,0.0,Ready to move,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,UNKNOWN,2865.0,Villa,Bangalore,25000000.0
3.0,₹1.99 Cr,Not specified,Sarjapur Road,1850.0,1519,10756.0,3.0,2.0,Not specified,None,New Property,Not specified,Unfurnished,Sarjapur Road,Not Specified,Shivakar Adarsh Lumina,1850.0,Multistorey Apartment,Bangalore,19900000.0
3.0,₹1.95 Cr,Not specified,Hulimavu,2400.0,1970,8125.0,3.0,2.0,Ready to move,None,New Property,Not specified,Unfurnished,Hulimavu,Not Specified,Ashritha Nilaya,2400.0,Multistorey Apartment,Bangalore,19500000.0
3.0,₹1.95 Cr,"₹10,92,000",Sarjapur Road,1629.0,1337,11970.0,3.0,2.0,Ready to move,Study Room,New Property,27,Unfurnished,Sarjapur road,East,Prestige Smart City,1629.0,Multistorey Apartment,Bangalore,19500000.0
2.0,₹1.15 Cr,"₹6,43,999",Koramangala,1490.0,1300,7718.0,2.0,2.0,Ready to move,None,Resale,3,Semi-Furnished,Koramangala,South - East,Madhuban Brindavan Apartments,1490.0,Multistorey Apartment,Bangalore,11500000.0
3.0,₹1.15 Cr,"₹6,43,999",Beml Layout Rr Nagar Stage 5,1350.0,1050,8518.0,2.0,2.0,Ready to move,None,Resale,2,Furnished,RR Nagar,North,Elite Aura,1350.0,Multistorey Apartment,Bangalore,11500000.0
2.0,₹73.3 Lac,"₹4,10,467",Rbi Layout,1141.0,980,6424.0,2.0,2.0,Ready to move,None,New Property,2,Semi-Furnished,Phase 7 JP Nagar,East,Mythri Habitat,1141.0,Multistorey Apartment,Bangalore,7330000.0
2.0,₹64 Lac,"₹3,58,399",Vishwapriya Nagar,1099.0,769,5823.0,2.0,0.0,Ready to move,None,Resale,3,Semi-Furnished,Vishwapriya nagar,East,UNKNOWN,1099.0,Builder Floor Apartment,Bangalore,6400000.0
